product_code,product_description,nomenclature_code
841850,"841850 --  - Other furniture (chests, cabinets, display counters, showcases and the like) for storage and display, incorporating refrigerating or freezing equipment",HS
842612,842612 --  -- Mobile lifting frames on tyres and straddle carriers,HS
844842,"844842 --  -- Reeds for looms, healds and heald-frames",HS
846900,846900 -- (2007-2016) Typewriters other than printers of heading 84.43; word- processing machines.,HS
847010,"847010 --  - Electronic calculators capable of operation without an external source of electric power and pocket-size data-recording, reproducing and displaying machines with calculating functions",HS
847130,"847130 -- (1996-) - Portable automatic data-processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display",HS
847321,"847321 --  -- Of the electronic calculating machines of subheading 847010, 847021 or 847029",HS
847510,"847510 --  - Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass envelopes",HS
848530,"848530 -- (2022) -- Machines for additive manufacturing; by plaster, cement, ceramics or glass deposit",HS
848580,"848580 -- (2022) -- Machines for additive manufacturing; by other than metal, plastic, rubber, plaster, cement, ceramics or glass deposits",HS
848620,848620 -- (2007-) - Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,HS
848630,848630 -- (2007-) - Machines and apparatus for the manufacture of flat panel displays,HS
851713,851713 -- (2022) -- Telephone sets; smartphones for cellular or other wireless networks,HS
851714,"851714 -- (2022) -- Telephone sets; other than smartphones, for cellular or other wireless networks",HS
851720,851720 -- (-1995) Teleprinters,HS
851722,851722 -- (1996-2006) -- Teleprinters,HS
851730,851730 -- (-2006) - Telephonic or telegraphic switching apparatus,HS
851762,"851762 -- (2007-) -- Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",HS
851840,851840 --  - Audio-frequency electric amplifiers,HS
852032,852032 -- (1996-2006) -- Digital audio type,HS
852410,852410 -- (-2006) - Gramophone records,HS
852411,"852411 -- (2022) -- Flat panel display modules, whether or not incorporating touch-sensitive screens; of liquid crystals, without drivers or control circuits",HS
852412,"852412 -- (2022) -- Flat panel display modules, whether or not incorporating touch-sensitive screens; of organic light-emitting diodes (OLED), without drivers or control circuits",HS
852419,"852419 -- (2022) -- Flat panel display modules, whether or not incorporating touch-sensitive screens; of other than liquid crystals or organic light-emitting diodes (OLED), without drivers or control circuits",HS
852492,"852492 -- (2022) -- Flat panel display modules, whether or not incorporating touch-sensitive screens; of organic light-emitting diodes (OLED), with drivers or control circuits",HS
852530,852530 -- (-2006) - Television cameras,HS
852540,852540 -- (1996-2006) - Still image video cameras and other video camera recorders; digital cameras,HS
852580,"852580 -- (2007-) - Television cameras, digital cameras and video camera recorders",HS
852581,"852581 -- (2022) -- Television cameras, digital cameras and video camera recorders; high-speed goods as specified in subheading note 1 to this chapter",HS
852582,"852582 -- (2022) -- Television cameras, digital cameras and video camera recorders; radiation-hardened or radiation-tolerant goods as specified in subheading note 2 to this chapter",HS
852583,"852583 -- (2022) -- Television cameras, digital cameras and video camera recorders; night vision goods as specified in subheading note 3 to this chapter",HS
852589,852589 -- (2022) -- Television cameras; n.e.c. in item no 8525.8,HS
852830,852830 -- (1996-2006) - Video projectors,HS
852871,852871 -- (2007-) -- Not designed to incorporate a video display or screen,HS
853010,853010 --  - Equipment for railways or tramways,HS
853223,"853223 --  -- Ceramic dielectric, single layer",HS
853224,"853224 --  -- Ceramic dielectric, multilayer",HS
853530,853530 --  - Isolating switches and make-and-break switches,HS
853650,853650 --  - Other switches,HS
854020,854020 --  - Television camera tubes; image converters and intensifiers; other photocathode tubes,HS
854040,"854040 -- (1996-) - Data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0,4 mm",HS
854050,"854050 -- (1996-2011) - Data/graphic display tubes, black and white or other monochrome",HS
854210,"854210 -- (2002-2006) - Cards incorporating an electronic integrated circuit (""smart"" cards)",HS
854212,"854212 -- (1996-2001) -- Cards incorporating an electronic integrated circuit (""smart"" cards)",HS
854220,854220 -- (-1995) Hybrid integrated circuits,HS
854230,854230 -- (1996-2001) - Other monolithic integrated circuits,HS
854231,"854231 -- (2007-) -- Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",HS
854240,854240 -- (1996-2001) - Hybrid integrated circuits,HS
854250,854250 -- (1996-2001) - Electronic microassemblies,HS
854260,854260 -- (2002-2006) - Hybrid integrated circuits,HS
854270,854270 -- (2002-2006) - Electronic microassemblies,HS
854620,854620 --  - Of ceramics,HS
854710,854710 --  - Insulating fittings of ceramics,HS
854921,"854921 -- (2022) -- Electrical and electronic waste and scrap; of a kind used principally for the recovery of precious metal, containing primary cells and batteries, electric accumulators, mercury-switches, glass from cathode ray tubes or other activated glass, or electrical",HS
854931,"854931 -- (2022) -- Electrical and electronic waste and scrap; electrical and electronic assemblies and printed circuit boards, other than those used principally for the recovery of precious metal, containing primary cells and batteries, electric accumulators, mercury-switch",HS
854939,"854939 -- (2022) -- Waste and scrap; electrical and electronic assemblies and printed circuit boards, other than those used principally for the recovery of precious metal n.e.c. in item no 8549.31",HS
